symbol,price,price_change,price_percent_change
TIVC,7.13,3.63,103.71
OBLG,3.54,1.40,65.42
BOWN,14.50,4.52,45.29
TMDE,5.24,1.61,44.35
NG,4.35,1.24,39.87
SPAI,3.46,0.76,27.96
BCTX,5.35,1.16,27.68
VCIG,3.57,0.73,25.70
AGEN,2.87,0.56,24.24
BTDR,9.38,1.78,23.42
FMTO,7.33,1.33,22.17
CNCK,7.37,1.32,21.82
INV,4.37,0.77,21.39
CMCT,5.03,0.87,20.91
AEHL,3.10,0.52,20.16
QSG,4.66,0.78,20.10
KRRO,16.34,2.69,19.76
AIXI,3.44,0.56,19.44
AUUD,3.87,0.61,18.71
LRMR,2.38,0.37,18.41
ATPC,2.45,0.38,18.36
LGPS,4.07,0.62,17.97
MASS,5.66,0.86,17.92
WULF,2.65,0.40,17.78
CLSK,8.77,1.30,17.40
RGNX,7.82,1.15,17.24
CIFR,2.74,0.40,17.09
ZYBT,9.01,1.31,17.01
DERM,7.39,1.06,16.75
CAPR,13.89,1.97,16.53
ZCAR,3.68,0.52,16.46
AMLX,4.92,0.69,16.31
COYA,6.64,0.93,16.29
BCYC,8.73,1.22,16.25
RGLS,2.32,0.31,15.42
CURI,3.52,0.47,15.41
TDUP,3.85,0.51,15.27
NGNE,13.83,1.81,15.06
PCT,6.39,0.82,14.82
GAUZ,10.29,1.30,14.46
MARA,14.06,1.77,14.40
JNVR,44.86,5.51,14.00
ROOT,134.95,16.56,13.99
EFX,245.08,29.79,13.84
ORKA,10.58,1.28,13.76
GRO,2.84,0.34,13.60
ENGS,5.85,0.70,13.59
ELDN,3.38,0.40,13.42
TOI,2.71,0.32,13.39
LASE,2.88,0.34,13.39
VSTM,7.04,0.83,13.37
SLDB,3.43,0.40,13.20
RIOT,7.12,0.83,13.20
MTEN,6.90,0.80,13.11
CALX,37.61,4.36,13.11
MBX,8.64,1.00,13.09
AAPG,21.60,2.48,12.97
BTCT,3.78,0.43,12.84
HSAI,13.09,1.48,12.75
WGRX,3.50,0.40,12.74
ITOS,7.45,0.83,12.54
Cayman,6.03,0.67,12.50
IPX,21.93,2.43,12.46
ATXS,4.62,0.51,12.41
GRAL,29.69,3.27,12.38
China,15.60,1.71,12.31
BLIV,3.76,0.41,12.24
LTBR,7.96,0.86,12.11
KOD,3.64,0.39,12.00
MWYN,4.41,0.47,11.93
AVR,3.51,0.37,11.78
AMRC,9.68,1.02,11.78
WIMI,5.03,0.53,11.78
KPTI,6.03,0.63,11.67
SNBR,5.94,0.62,11.65
NUKK,14.30,1.49,11.63
SMLR,33.28,3.45,11.57
KZIA,3.44,0.35,11.33
BLUE,4.34,0.44,11.28
RAPP,11.55,1.17,11.27
ALGS,5.14,0.52,11.26
OB,3.57,0.36,11.21
NVCT,9.27,0.93,11.15
MTSR,21.68,2.17,11.12
DNLI,14.60,1.45,11.03
MGTX,6.27,0.62,10.97
FLL,3.24,0.32,10.96
RH,172.80,17.01,10.92
EVO,3.97,0.39,10.89
HUT,11.79,1.15,10.81
AVD,4.21,0.41,10.79
ELVN,17.97,1.75,10.79
GLTO,2.68,0.26,10.74
KWE,0.22,0.02,10.71
ARCT,12.17,1.17,10.64
SMR,15.09,1.45,10.63
FSLR,135.35,12.90,10.53
ATKR,62.66,5.93,10.45
AVTX,4.87,0.46,10.43
PAGS,9.35,0.88,10.39
