Symbol,Name,Last Price,Change,Change %
BULL,Webull Corp. Cl A (BULL),62.90,49.65,374.72
STAK,STAK Inc. (STAK),2.22,1.08,94.74
USAR,USA Rare Earth Inc. (USAR),11.75,3.44,41.40
THRD,Third Harmonic Bio Inc. (THRD),5.09,1.45,39.84
BIYA,Baiya International Group Inc. (BIYA),2.28,0.63,38.18
WGRX,Wellgistics Health Inc. (WGRX),3.83,0.94,32.53
MTSR,Metsera Inc. (MTSR),18.18,4.18,29.86
JNVR,Janover Inc. (JNVR),65.94,14.73,28.76
FATN,FatPipe Inc. (FATN),8.11,1.75,27.52
VERV,Verve Therapeutics Inc. (VERV),4.12,0.86,26.38
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),5.12,1.06,26.11
AUID,authID Inc. (AUID),7.05,1.37,24.12
AREB,American Rebel Holdings Inc. (AREB),7.60,1.39,22.38
CAPS,Capstone Holding Corp. (CAPS),2.90,0.52,21.85
RNAC,Cartesian Therapeutics Inc. (RNAC),13.00,2.33,21.84
MP,MP Materials Corp. (MP),27.59,4.91,21.65
AEHL,Antelope Enterprise Holdings Ltd. (AEHL),3.42,0.59,20.85
BETR,Better Home & Finance Holding Co. (BETR),12.40,2.12,20.62
FLD,Fold Holdings Inc. (FLD),3.24,0.55,20.45
ACON,Aclarion Inc. (ACON),10.00,1.67,20.05
ELWS,Earlyworks Co. Ltd. ADR (ELWS),2.25,0.37,19.68
YSXT,YSX Tech. Co. Ltd. (YSXT),4.04,0.66,19.47
SATL,Satellogic Inc. (SATL),4.47,0.72,19.20
GPCR,Structure Therapeutics Inc. ADR (GPCR),18.95,3.05,19.18
ABTS,Abits Group Inc. (ABTS),2.10,0.33,18.87
PIII,P3 Health Partners Inc. (PIII),8.99,1.41,18.60
NB,NioCorp Developments Ltd. (NB),2.44,0.38,18.45
SUPV,Grupo Supervielle S.A. ADR (SUPV),15.42,2.33,17.80
NVCT,Nuvectis Pharma Inc. (NVCT),9.78,1.47,17.69
FORD,Forward Industries Inc. (FORD),5.69,0.85,17.56
