symbol,price,price_change,price_percent_change
EHC,112.355,10.945,10.792821
CHTR,369.295,33.965027,10.128837
LBRDK,85.18,7.8199997,10.108583
LBRDA,84.0,7.5,9.805203
VRSN,274.5,21.910004,8.674138
CORZ,8.19,0.6599994,8.764932
TSLA,281.3646,21.854584,8.4196825
FIX,404.97,28.76001,7.6446695
SXT,86.065,5.925003,7.393316
FLG,11.955,0.68499947,6.0780783
SEM,17.52,0.94000053,5.6694846
CZR,28.6,1.4300003,5.263159
LOAR,96.6185,4.7685013,5.1916184
MSTR,367.13,16.790009,4.79249
DAR,31.92,1.4699993,4.8275843
BYD,69.19,3.1500015,4.7669516
SAM,254.0,11.600006,4.7821274
SOFI,12.835,0.5249996,4.264822
WING,226.275,8.684998,3.9914508
PENN,15.75,0.6000004,3.9603987
TNXP,17.85,0.65999985,3.8394406
RNR,235.87,7.9299927,3.4789824
CMG,51.26,1.7199974,3.4712358
ALNY,251.32,8.710007,3.5901268
VRT,86.85,2.9700012,3.540774
STRL,150.53,4.529999,3.1027389
MRX,42.08,1.4000015,3.4414983
RNECY,6.18,0.19999981,3.3444784
FHI,39.62,1.3199997,3.4464746
DLR,158.545,4.794998,3.118698
BE,18.695,0.5550003,3.0595386
ANZGY,18.71,0.55999947,3.0853965
GEO,30.8,0.8299999,2.769436
FANUY,12.92,0.3800001,3.030304
