symbol,price,price_change,price_percent_change
PVH,75.86,+11.22,+17.36
HSAI,17.29,+2.49,+16.82
OKLO,24.03,+2.40,+11.09
PRGS,56.74,+5.23,+10.15
CORZ,7.97,+0.73,+10.10
IONQ,24.33,+2.26,+10.24
CLSK,7.33,+0.61,+9.07
DJTWW,13.19,+0.81,+6.50
APLS,23.70,+1.83,+8.37
RIVN,13.47,+1.02,+8.15
HCM,16.20,+1.16,+7.71
NBIS,22.65,+1.54,+7.30
TSLA,277.20,+18.04,+6.96
BE,20.92,+1.26,+6.41
CRZBY,24.25,+1.45,+6.36
FMCC,5.67,+0.32,+5.97
RDDT,111.45,+6.55,+6.24
RKT,12.79,+0.72,+5.97
DJT,20.68,+1.14,+5.83
DSNKY,25.10,+1.32,+5.53
MNDY,257.69,+14.53,+5.98
SRAD,22.75,+1.13,+5.23
LEVI,16.43,+0.84,+5.39
MSTR,304.71,+16.45,+5.70
OS,22.48,+1.14,+5.35
