Symbol,Name,Last Price,Change,Change %
FRGE,"Forge Global Holdings, Inc.",,13.42+3.79(+39.38%),+3.79
RKLB,"Rocket Lab USA, Inc.",,21.57+2.44(+12.75%),+2.44
ERIC,Telefonaktiebolaget LM Ericsson (publ),,8.09+0.64(+8.52%),+0.64
STRL,"Sterling Infrastructure, Inc.",,143.88+8.65(+6.40%),+8.65
LEGN,Legend Biotech Corporation,,34.22+2.11(+6.57%),+2.11
FMCKI,Federal Home Loan Mortgage Corporation,,8.85+0.55(+6.63%),+0.55
HPE,Hewlett Packard Enterprise Company,,15.26+0.98(+6.86%),+0.98
SRRK,Scholar Rock Holding Corporation,,30.73+1.80(+6.22%),+1.80
CVNA,Carvana Co.,,217.93+13.20(+6.45%),+13.20
FMCKJ,Federal Home Loan Mortgage Corporation,,10.55+0.58(+5.82%),+0.58
UAA,"Under Armour, Inc.",,5.76+0.32(+5.98%),+0.32
AUOTY,AUO Corporation,,5.37+0.27(+5.29%),+0.27
RXRX,"Recursion Pharmaceuticals, Inc.",,5.76+0.25(+4.63%),+0.25
UA,"Under Armour, Inc.",,5.41+0.24(+4.74%),+0.24
PTGX,"Protagonist Therapeutics, Inc.",,47.01+1.99(+4.41%),+1.99
SMFG,"Sumitomo Mitsui Financial Group, Inc.",,13.69+0.58(+4.38%),+0.58
TTDKY,TDK Corporation,,9.80+0.40(+4.26%),+0.40
CLS,Celestica Inc.,,84.11+3.24(+4.00%),+3.24
ZI,ZoomInfo Technologies Inc.,,8.32+0.32(+4.06%),+0.32
BPIRY,Piraeus Financial Holdings S.A.,,5.42+0.21(+4.03%),+0.21
BAC,Bank of America Corporation,,38.09+1.42(+3.87%),+1.42
NFLX,"Netflix, Inc.",,970.67+39.39(+4.23%),+39.39
SMCI,"Super Micro Computer, Inc.",,34.25+1.13(+3.42%),+1.13
AUR,"Aurora Innovation, Inc.",,6.28+0.25(+4.23%),+0.25
WAL,Western Alliance Bancorporation,,66.29+2.36(+3.68%),+2.36
