symbol,price,price_change,price_percent_change
SNOA,3.90,1.57,67.42
TIL,23.00,6.51,39.48
UPXI,12.12,3.12,34.71
PEGA,89.74,20.98,30.52
RZLT,4.05,0.94,30.23
CEP,13.82,3.20,30.13
MIND,7.01,1.57,28.86
HCSG,12.02,2.61,27.74
HSAI,16.08,2.99,22.84
VNET,5.96,1.09,22.38
PONY,5.04,0.88,21.15
GRAL,35.15,5.46,18.39
PSIX,24.87,3.85,18.32
KOD,4.28,0.64,17.60
NDRA,3.62,0.53,17.33
NVAX,7.29,1.04,16.71
AGEN,3.34,0.47,16.38
COMM,3.76,0.53,16.25
API,3.02,0.39,14.83
SMTC,28.29,3.60,14.58
AAOI,12.49,1.54,14.08
LITE,58.70,7.07,13.68
CRDO,42.07,5.05,13.64
JNVR,50.88,6.02,13.42
AMPX,2.46,0.29,13.36
INOD,35.41,4.17,13.35
VRT,81.40,9.58,13.34
MANH,183.56,21.31,13.13
EWBC,89.54,10.34,13.05
AEVA,6.98,0.81,13.03
COHR,62.28,7.16,12.98
TEM,48.80,5.57,12.88
MCRB,9.21,1.05,12.87
CRSR,6.80,0.78,12.85
KC,13.18,1.48,12.65
ALAB,62.23,6.92,12.51
AS,24.99,2.74,12.31
ACMR,20.71,2.26,12.25
AREB,2.48,0.27,12.21
GTLS,135.78,14.72,12.16
ALGT,46.77,5.05,12.10
ATI,51.08,5.47,11.99
SMCI,34.17,3.59,11.74
BOOT,104.20,10.88,11.66
HRI,114.13,11.79,11.52
APH,73.28,7.53,11.45
HIMS,28.25,2.90,11.44
BLFS,24.38,2.48,11.35
NFE,5.44,0.56,11.35
MKSI,69.92,7.06,11.23
PGY,10.43,1.05,11.19
SERV,5.86,0.59,11.17
NWL,5.24,0.53,11.12
NG,4.83,0.48,11.01
AUR,6.82,0.68,10.98
CLS,91.82,9.05,10.93
CAVA,90.15,8.85,10.89
CRWV,42.66,4.15,10.77
LIND,9.20,0.89,10.71
HOOD,46.59,4.50,10.69
TMDE,5.79,0.55,10.49
APP,262.61,24.90,10.47
TARA,4.35,0.41,10.41
AOSL,17.98,1.70,10.41
TBCH,11.89,1.12,10.40
WRBY,15.85,1.47,10.22
LX,8.09,0.75,10.22
MXL,11.47,1.06,10.20
RDW,10.39,0.96,10.18
SGML,8.45,0.78,10.17
SGMT,2.80,0.26,10.00
CIEN,65.44,5.94,9.98
MOD,79.40,7.20,9.97
AMBA,45.02,4.07,9.94
ULCC,3.48,0.32,9.94
PNBK,3.43,0.31,9.94
DOCN,29.32,2.63,9.88
TKNO,6.79,0.61,9.87
VST,123.73,11.10,9.86
SPAI,3.80,0.34,9.84
DNA,8.28,0.74,9.81
WTF,8.29,0.74,9.77
PCOR,62.80,5.57,9.73
SHOP,94.13,8.42,9.82
RDDT,111.49,9.83,9.67
FIVE,78.32,6.86,9.60
GLBE,36.10,3.16,9.59
QDEL,26.80,2.33,9.55
APPN,29.29,2.55,9.54
TSSI,7.36,0.64,9.52
ZETA,12.38,1.07,9.46
WAB,187.96,16.20,9.43
ELF,60.54,5.21,9.42
PRCT,57.73,4.93,9.34
NVST,16.58,1.42,9.33
JBLU,4.01,0.34,9.26
PSNL,3.72,0.32,9.24
RXO,13.96,1.18,9.23
HROW,25.02,2.10,9.19
MRVL,55.27,4.65,9.19
