Symbol,Name,Last Price,Change,Change %
TIVC,Tivic Health Systems Inc. (TIVC),9.05,5.55,158.57
OBLG,Oblong Inc. (OBLG),3.28,1.14,53.27
FMTO,Femto Technologies Inc. (FMTO),9.16,3.16,52.67
Security Matters,SMX (Security Matters) PLC (SMX),2.48,0.38,17.77
BTCT,BTC Digital Ltd. (BTCT),3.92,0.57,17.01
BULL,Webull Corp. Cl A (BULL),28.70,4.08,16.57
KSCP,Knightscope Inc. (KSCP),5.32,0.70,15.15
NG,NovaGold Resources Inc. (NG),3.56,0.46,14.63
PCT,PureCycle Technologies Inc. (PCT),6.35,0.79,14.11
ATPC,AgapeATP Corp. (ATPC),2.36,0.29,14.03
CIFR,Cipher Mining Inc. (CIFR),2.66,0.33,13.89
MASS,908 Devices Inc. (MASS),5.44,0.65,13.44
SEDG,SolarEdge Technologies Inc. (SEDG),13.68,1.58,13.06
CALX,Calix Inc. (CALX),37.57,4.32,12.99
HSAI,Hesai Group ADR (HSAI),13.09,1.48,12.75
HOLO,MicroCloud Hologram Inc. (HOLO),13.75,1.55,12.70
FSLR,First Solar Inc. (FSLR),137.61,15.16,12.38
BTDR,Bitdeer Technologies Group (BTDR),8.53,0.93,12.24
WULF,TeraWulf Inc. (WULF),2.52,0.27,11.78
GLTO,Galecto Inc. (GLTO),2.70,0.28,11.57
EFX,Equifax Inc. (EFX),238.94,23.64,10.98
MCRB,Seres Therapeutics Inc. (MCRB),8.27,0.79,10.53
CLSK,CleanSpark Inc. (CLSK),8.26,0.79,10.51
SXTP,60 Degrees Pharmaceuticals Inc. (SXTP),3.49,0.33,10.44
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),8.50,0.80,10.39
AMRC,Ameresco Inc. Cl A (AMRC),9.53,0.87,10.05
IVZ,INVESCO Ltd. (IVZ),13.71,1.25,10.03
CAPR,Capricor Therapeutics Inc. (CAPR),13.06,1.14,9.56
CVNA,Carvana Co. Cl A (CVNA),214.50,18.68,9.54
ROOT,Root Inc. Cl A (ROOT),129.00,10.61,8.96
HTZ,Hertz Global Holdings Inc. (HTZ),8.52,0.69,8.88
IREN,IREN Ltd. (IREN),5.98,0.47,8.61
ONC,BeiGene Ltd. ADR (ONC),247.97,18.75,8.18
AMLX,Amylyx Pharmaceuticals Inc. (AMLX),4.58,0.34,8.16
SRAD,Sportradar Group AG Cl A (SRAD),24.88,1.88,8.15
PNR,Pentair PLC (PNR),85.36,6.40,8.11
WGS,GeneDx Holdings Corp. (WGS),98.40,7.36,8.08
ATYR,aTyr Pharma Inc. (ATYR),3.54,0.27,8.08
GPRE,Green Plains Inc. (GPRE),3.56,0.27,8.03
Cayman,Dingdong (Cayman) Ltd. ADR (DDL),2.50,0.18,8.01
HUT,Hut 8 Corp. (HUT),11.48,0.84,7.91
RIOT,Riot Platforms Inc. (RIOT),6.78,0.49,7.79
QSG,QuantaSing Group Ltd. ADR (QSG),4.18,0.30,7.73
MTSR,Metsera Inc. (MTSR),21.00,1.49,7.61
VERV,Verve Therapeutics Inc. (VERV),5.13,0.35,7.33
BCTX,BriaCell Therapeutics Corp. (BCTX),4.49,0.30,7.26
