symbol,price,price_change,price_percent_change
PEGA,88.61,19.849998,28.868526
SMMT,33.22,5.870001,21.462524
DJTWW,16.39,2.5099993,18.083569
TEM,49.51,6.279999,14.526946
TNXP,16.95,1.9900007,13.302144
DJT,26.37,2.7200012,11.501062
ATI,50.43,4.8199997,10.560911
APPN,29.56,2.8199997,10.545998
TLX,18.33,1.6599998,9.922295
SMTC,27.15,2.459999,9.963544
DUOL,369.96,33.619995,9.995836
CRDO,40.43,3.4099998,9.209992
ACHR,8.055,0.71500015,9.747654
BNTX,114.63,9.949997,9.505156
ROOT,147.28,12.330002,9.13672
MBLY,13.18,1.1300001,9.377595
WGS,105.47,8.580002,8.855405
ALAB,60.15,4.84,8.750678
VRT,78.0,6.1800003,8.610841
OKLO,23.36,1.8299999,8.503717
APH,71.12,5.3700027,8.167304
MKSI,67.9,5.040001,8.017818
CRS,190.7,13.319992,7.509298
SOUN,8.75,0.60999966,7.4938526
COHR,59.33,4.200001,7.6183577
SMCI,32.888,2.3080006,7.546925
SAP,271.37,18.970001,7.5158486
XPEV,20.47,1.3999996,7.3413725
KYMR,30.71,1.9099998,6.631944
FRGE,12.535,0.7249994,6.136262
SG,18.45,1.2800007,7.454867
PLTR,100.73,6.7400055,7.1694565
KVYO,26.26,1.8099995,7.40286
CORT,69.2,4.5199966,6.9882445
KC,12.54,0.84000015,7.179488
ZETA,12.065,0.75499916,6.675501
GLOB,112.23,7.300003,6.9570217
LITE,55.13,3.4900017,6.7570224
MDB,162.67,10.520004,6.914687
AFRM,46.84,3.0200005,6.8934045
MOD,76.86,4.6600037,6.454299
CLS,88.225,5.455002,6.5905547
RKLB,20.29,1.25,6.565126
EWBC,84.44,5.2300034,6.6027064
UEC,5.185,0.3449998,7.1060715
RGTI,9.11,0.53999996,6.3010497
CAVA,86.44,5.1399994,6.3222623
CAMT,63.86,3.670002,6.0973616
VST,119.97,7.340004,6.516917
NOW,812.99,46.159973,6.019583
HOOD,44.65,2.5600014,6.0822077
MRVL,53.76,3.1399994,6.2030807
SHOP,90.96,5.25,6.125306
DELL,89.12,5.040001,5.9942923
APP,252.15,14.439987,6.0746236
FQVLF,12.84,0.7399998,6.1157002
BA,172.34,9.819992,6.0423284
PCVX,33.12,1.8599987,5.948189
AVPT,15.095,0.7750006,5.4120154
XIACF,6.15,0.3499999,6.034481
DOCN,28.245,1.5650005,5.8658195
WAB,181.87,10.110001,5.886121
PSTG,42.7,2.3400002,5.79782
JBSAY,16.6,0.94000053,5.991081
ASR,305.24,17.24,5.986111
MEOH,30.53,1.7700005,6.1543827
SYBT,75.47,4.090004,5.7363315
XIACY,30.64,1.7199993,5.947439
BPOP,94.789,5.308998,5.933167
NTNX,63.29,3.5100021,5.8715324
TBBK,48.38,2.5600014,5.587083
MANH,171.88,9.630005,5.935288
ROKU,62.58,3.3500023,5.655922
RBRK,65.53,3.6399994,5.8814015
RTX,120.31,6.5599976,5.7700744
THC,121.05,6.3700027,5.554831
IESC,186.33,8.809998,4.9628196
S,17.3,0.9399986,5.7457128
SYNA,53.02,2.6399994,5.2401733
NET,112.78,5.970001,5.5893655
SITM,137.46,7.050003,5.406029
GLBE,34.75,1.8100014,5.4940095
PRCT,55.7,2.9000015,5.4924273
PAYO,6.64,0.3499999,5.564387
INTC,20.56,1.0499992,5.3818517
RIOT,7.5,0.3800001,5.3370805
CIEN,62.57,3.0699997,5.159663
TSLA,250.74,12.770004,5.3662243
CFLT,21.77,1.1300011,5.4748116
HIMS,26.71,1.3599987,5.3670034
FN,186.83,9.690002,5.470251
GTLS,127.5,6.4400024,5.3196783
RXO,13.415,0.6350002,4.968703
PCOR,60.23,3.0,5.242006
RDDT,107.115,5.454994,5.3659196
SNOW,147.37,7.1399994,5.0916348
FLEX,32.94,1.6699982,5.340576
HLNE,144.1,7.4200134,5.428749
BZ,14.61,0.72999954,5.2593627
TME,13.14,0.6500006,5.200005
