symbol,price,price_change,price_percent_change
PLTR,102.39,+18.65,+22.28
GRAB,5.15,+0.61,+13.44
SPOT,612.60,+63.52,+11.57
IFNNY,35.62,+3.64,+11.35
SOUN,15.88,+1.64,+11.52
PJT,183.11,+17.78,+10.75
SWTX,39.62,+3.81,+10.62
MP,24.48,+2.25,+10.12
LANC,182.67,+16.17,+9.71
XPEV,17.08,+1.39,+8.89
CLS,131.46,+10.58,+8.75
SMCI,29.23,+2.38,+8.85
PDD,114.23,+8.99,+8.54
PBF,30.03,+2.32,+8.35
ATI,62.72,+4.76,+8.20
AXTA,37.90,+2.78,+7.93
PAGS,7.84,+0.55,+7.48
FRO,18.90,+1.35,+7.69
AVAV,185.72,+12.74,+7.37
RMBS,64.65,+4.30,+7.13
MPC,157.19,+10.19,+6.93
LI,24.44,+1.56,+6.82
RACE,457.84,+28.90,+6.74
SUPN,39.81,+2.45,+6.56
VIPS,14.80,+0.90,+6.52
CCJ,50.58,+3.13,+6.60
DINO,37.85,+2.28,+6.42
ASH,64.73,+3.84,+6.31
BIDU,93.22,+5.51,+6.28
CVE,14.99,+0.89,+6.27
BILI,17.76,+1.05,+6.25
BEKE,17.50,+1.00,+6.09
PCRHY,10.50,+0.60,+6.06
AKRO,56.90,+3.05,+5.66
ASTS,22.79,+1.32,+6.16
CRDO,76.07,+4.26,+5.93
AI,33.06,+1.85,+5.94
FUTU,98.32,+5.38,+5.79
XYL,129.85,+7.05,+5.74
RDDT,213.93,+11.62,+5.74
FIVN,42.79,+2.30,+5.68
STNE,9.39,+0.50,+5.62
DNLI,23.03,+1.19,+5.47
RUM,12.86,+0.65,+5.32
MPNGY,39.04,+1.97,+5.31
HBM,8.64,+0.43,+5.24
FNMA,5.43,+0.27,+5.23
WGS,73.80,+3.82,+5.46
VRN,5.18,+0.26,+5.18
LKNCY,29.58,+1.43,+5.08
TMDX,72.26,+3.50,+5.09
MRAAY,8.10,+0.39,+5.08
CRVL,121.82,+5.85,+5.04
HIMS,41.04,+2.11,+5.42
FNMAS,11.56,+0.55,+5.00
BNPQY,34.72,+1.60,+4.83
VNET,7.58,+0.36,+4.99
NXE,6.67,+0.34,+5.35
AA,35.86,+1.75,+5.13
REGN,699.87,+33.02,+4.95
STNG,50.35,+2.40,+5.01
BERY,69.97,+3.14,+4.70
SOBO,24.81,+1.10,+4.66
SHOP,119.67,+5.28,+4.62
AMKBY,7.51,+0.33,+4.59
CLF,10.19,+0.45,+4.67
SHAK,120.34,+5.17,+4.49
PWP,26.18,+1.13,+4.51
QXO,14.03,+0.60,+4.43
TRMD,20.96,+0.91,+4.52
AMCR,9.98,+0.41,+4.34
MNSO,24.01,+1.03,+4.48
BABA,102.88,+4.27,+4.33
INSW,40.68,+1.71,+4.39
APA,22.42,+0.95,+4.40
CMI,363.18,+14.98,+4.30
VLO,142.02,+5.84,+4.29
VKTX,32.83,+1.31,+4.16
TDW,54.45,+2.18,+4.17
OVV,43.69,+1.74,+4.15
TCEHY,54.58,+2.15,+4.10
FMCKJ,11.10,+0.44,+4.13
AXSM,111.95,+4.52,+4.21
PROSY,7.84,+0.31,+4.12
SANM,85.47,+3.25,+3.95
BYDDY,73.65,+2.85,+4.03
MPWR,654.46,+25.67,+4.08
FOX,51.20,+2.01,+4.09
KD,39.53,+1.57,+4.14
FOXA,54.10,+2.15,+4.15
FNMAT,10.54,+0.45,+4.46
DUOL,378.98,+14.54,+3.99
HSAI,16.04,+0.64,+4.17
TECK,41.73,+1.64,+4.09
YMM,11.56,+0.44,+4.00
RNA,33.26,+1.30,+4.07
MOS,28.12,+1.06,+3.92
