,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,TNXP,Tonix Pharmaceuticals Holding Corp.,,20.66 +4.38 (+26.93%),4.38,+26.93%,2.014M,1.601M,115.52M,-,-98.55%,
1,FINV,FinVolution Group,,10.74 +1.62 (+17.75%),1.62,+17.75%,3.765M,804863,2.79B,9.34,88.04%,
2,JBSAY,JBS S.A.,,13.64 +1.99 (+17.08%),1.99,+17.08%,197839,80348,15.128B,11.76,25.85%,
3,TME,Tencent Music Entertainment Group,,14.95 +1.89 (+14.51%),1.89,+14.51%,27.487M,7.488M,23.746B,28.22,18.30%,
4,TKAMY,thyssenkrupp AG,,11.47 +1.42 (+14.13%),1.42,+14.13%,117199,125634,7.14B,-,89.62%,
5,NEXT,NextDecade Corporation,,8.23 +0.98 (+13.52%),0.98,+13.52%,2.09M,1.745M,2.143B,-,31.82%,
6,ESLT,Elbit Systems Ltd.,,407.34 +38.08 (+10.31%),38.08,+10.31%,166832,46250,18.166B,69.87,82.87%,
7,BVHMF,Vistry Group PLC,,8.20 +0.65 (+8.61%),0.65,+8.61%,15650,21292,2.693B,8.72,-48.99%,
8,ALHC,"Alignment Healthcare, Inc.",,17.09 +1.00 (+6.22%),1.0,+6.22%,2.586M,2.048M,3.278B,-,225.71%,
9,BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
10,RNMBY,Rheinmetall AG,,315.84 +14.84 (+4.93%),14.84,+4.93%,45167,96075,68.565B,129.44,187.02%,
11,IMPUY,Impala Platinum Holdings Limited,,6.54 +0.26 (+4.14%),0.26,+4.14%,369377,202241,5.896B,-,68.07%,
12,CNX,CNX Resources Corporation,,32.00 +1.27 (+4.13%),1.27,+4.13%,1.688M,3.275M,4.763B,-,42.40%,
13,VWDRY,Vestas Wind Systems A/S,,5.62 +0.22 (+4.07%),0.22,+4.07%,27562,476681,16.921B,31.22,-41.95%,
14,MYRG,MYR Group Inc.,,125.40 +4.90 (+4.07%),4.9,+4.07%,386049,231437,2.024B,68.52,-24.94%,
15,XIACF,Xiaomi Corporation,,7.70 +0.29 (+3.91%),0.29,+3.91%,26868,172010,187.699B,36.67,287.17%,
16,AU,AngloGold Ashanti plc,,34.29 +1.30 (+3.94%),1.3,+3.94%,2.079M,2.419M,17.266B,14.72,62.75%,
17,BAYRY,Bayer Aktiengesellschaft,,6.80 +0.25 (+3.82%),0.25,+3.82%,140745,1.259M,26.722B,-,-6.44%,
18,DB,Deutsche Bank Aktiengesellschaft,,24.87 +0.92 (+3.84%),0.92,+3.84%,4.115M,2.996M,48.345B,16.69,60.85%,
19,EDU,New Oriental Education & Technology Group Inc.,,52.73 +1.93 (+3.80%),1.93,+3.80%,1.113M,1.932M,8.623B,22.93,-45.09%,
20,XIACY,Xiaomi Corporation,,38.38 +1.41 (+3.82%),1.41,+3.82%,398136,690443,187.139B,36.21,232.17%,
21,AG,First Majestic Silver Corp.,,7.36 +0.26 (+3.74%),0.26,+3.74%,18.567M,17.895M,3.56B,-,34.79%,
22,SAN,"Banco Santander, S.A.",,7.14 +0.26 (+3.71%),0.26,+3.71%,6.089M,4.726M,107.487B,8.49,53.23%,
23,STVN,Stevanato Group S.p.A.,,21.31 +0.73 (+3.55%),0.73,+3.55%,155950,361029,5.815B,45.34,-29.45%,
24,MUFG,"Mitsubishi UFJ Financial Group, Inc.",,14.33 +0.47 (+3.36%),0.47,+3.36%,31.285M,3.957M,165.27B,12.79,35.75%,
25,NIO,NIO Inc.,,5.21 +0.18 (+3.58%),0.18,+3.58%,69.147M,51.638M,10.585B,-,-3.08%,
26,DFS,Discover Financial Services,,158.39 +5.40 (+3.53%),5.4,+3.53%,2.53M,1.868M,39.852B,8.94,26.19%,
27,BYDDF,BYD Company Limited,,53.04 +1.69 (+3.29%),1.69,+3.29%,81426,109846,161.033B,32.94,87.25%,
28,GFI,Gold Fields Limited,,21.33 +0.68 (+3.27%),0.68,+3.27%,2.88M,2.949M,19.086B,30.04,45.12%,
29,VTRS,Viatris Inc.,,9.53 +0.28 (+3.03%),0.28,+3.03%,9.044M,12.289M,11.376B,-,-22.07%,
30,CDE,"Coeur Mining, Inc.",,6.64 +0.22 (+3.34%),0.22,+3.34%,15.498M,17.36M,4.243B,44.30,112.21%,
31,TIGO,Millicom International Cellular S.A.,,31.16 +0.92 (+3.03%),0.92,+3.03%,764208,511103,5.275B,21.05,57.58%,
32,NWG,NatWest Group plc,,12.27 +0.38 (+3.15%),0.38,+3.15%,3.92M,5.057M,49.364B,9.09,92.08%,
33,AVTR,"Avantor, Inc.",,17.02 +0.51 (+3.09%),0.51,+3.09%,5.335M,6.187M,11.589B,16.37,-35.15%,
