symbol,price,price_change,price_percent_change
TNXP,20.66,+4.38,+26.93
FINV,10.74,+1.62,+17.75
JBSAY,13.64,+1.99,+17.08
TME,14.95,+1.89,+14.51
TKAMY,11.47,+1.42,+14.13
NEXT,8.23,+0.98,+13.52
ESLT,407.34,+38.08,+10.31
BVHMF,8.20,+0.65,+8.61
ALHC,17.09,+1.00,+6.22
BRRLY,13.60,+0.67,+5.18
RNMBY,315.84,+14.84,+4.93
IMPUY,6.54,+0.26,+4.14
CNX,32.00,+1.27,+4.13
VWDRY,5.62,+0.22,+4.07
MYRG,125.40,+4.90,+4.07
XIACF,7.70,+0.29,+3.91
AU,34.29,+1.30,+3.94
BAYRY,6.80,+0.25,+3.82
DB,24.87,+0.92,+3.84
EDU,52.73,+1.93,+3.80
XIACY,38.38,+1.41,+3.82
AG,7.36,+0.26,+3.74
SAN,7.14,+0.26,+3.71
STVN,21.31,+0.73,+3.55
MUFG,14.33,+0.47,+3.36
NIO,5.21,+0.18,+3.58
DFS,158.39,+5.40,+3.53
BYDDF,53.04,+1.69,+3.29
GFI,21.33,+0.68,+3.27
VTRS,9.53,+0.28,+3.03
CDE,6.64,+0.22,+3.34
TIGO,31.16,+0.92,+3.03
NWG,12.27,+0.38,+3.15
AVTR,17.02,+0.51,+3.09
